Ativo,Ativo Circulante,Cart. de Crédito,Depósitos,Disponibilidades,Dív. Bruta,Dív. Líquida,Patrim. Líq,ticker
7881510000.0,2559770000.0,,,624539000.0,3648260000.0,3023720000.0,2666750000.0,EKTR3
7881510000.0,2559770000.0,,,624539000.0,3648260000.0,3023720000.0,2666750000.0,EKTR4
516201000.0,292633000.0,,,43687000.0,159280000.0,115593000.0,233127000.0,ELEK3
516201000.0,292633000.0,,,43687000.0,159280000.0,115593000.0,233127000.0,ELEK4
177207000000.0,38819300000.0,,,12652400000.0,50398200000.0,37745800000.0,63049800000.0,ELET3
177207000000.0,38819300000.0,,,12652400000.0,50398200000.0,37745800000.0,63049800000.0,ELET5
177207000000.0,38819300000.0,,,12652400000.0,50398200000.0,37745800000.0,63049800000.0,ELET6
1450770000.0,522335000.0,,,334570000.0,74881000.0,-259689000.0,918883000.0,EMAE4
46068900000.0,37553900000.0,,,4058460000.0,931407000.0,-3127050000.0,15429000000.0,EMBR3
4414460000.0,1891750000.0,,,1517560000.0,262912000.0,-1254640000.0,2795640000.0,ENAT3
27489100000.0,7324980000.0,,,2773870000.0,8464840000.0,5690960000.0,9229050000.0,ENBR3
13000800000.0,2524830000.0,,,1504480000.0,5358180000.0,3853700000.0,6533980000.0,ENEV3
37958500000.0,11035400000.0,,,2530600000.0,16659500000.0,14128900000.0,5488090000.0,ENGI11
37958500000.0,11035400000.0,,,2530600000.0,16659500000.0,14128900000.0,5488090000.0,ENGI3
37958500000.0,11035400000.0,,,2530600000.0,16659500000.0,14128900000.0,5488090000.0,ENGI4
7459970000.0,2013420000.0,,,222373000.0,3692120000.0,3469740000.0,2044870000.0,ENMT3
7459970000.0,2013420000.0,,,222373000.0,3692120000.0,3469740000.0,2044870000.0,ENMT4
10055700000.0,3825590000.0,,,1614590000.0,357828000.0,-1256770000.0,3280990000.0,EQPA3
10055700000.0,3825590000.0,,,1614590000.0,357828000.0,-1256770000.0,3280990000.0,EQPA5
10055700000.0,3825590000.0,,,1614590000.0,357828000.0,-1256770000.0,3280990000.0,EQPA7
33872000000.0,9745930000.0,,,4725730000.0,16616000000.0,11890300000.0,6635790000.0,EQTL3
234926000.0,115121000.0,,,414000.0,57629000.0,57215000.0,-462674000.0,ESTR4
570383000.0,240779000.0,,,10475000.0,108798000.0,98323000.0,-2375000.0,ETER3
2292340000.0,690011000.0,,,18858000.0,445053000.0,426195000.0,1309060000.0,EUCA3
2292340000.0,690011000.0,,,18858000.0,445053000.0,426195000.0,1309060000.0,EUCA4
4761200000.0,3804870000.0,,,818691000.0,1391260000.0,572567000.0,1668040000.0,EVEN3
4183300000.0,2606800000.0,,,1402120000.0,66242000.0,-1335880000.0,3721170000.0,EZTC3
2805560000.0,859558000.0,,,256140000.0,503210000.0,247070000.0,1858840000.0,FESA3
